Image_IR_#,Species_given_name,Species_code,Species_latin_name_or_taxa,Order,Familly,length_mm,width_mm,height_mm,mm/dd/yy,Local_hour,Tbody_C,Tleaf_C,Tbody-Tleaf
8466,Green bug,hemif,Unidentified,Hemiptera,Unidentified,3.116666667,1.3,0.82,6/21/2019,14:11,25.2,24.2,1
8197,Green bug,hemif,Unidentified,Hemiptera,Unidentified,3.116666667,1.3,0.82,6/19/2019,11:06,12.9,12.3,0.6
8205,Green bug,hemif,Unidentified,Hemiptera,Unidentified,3.116666667,1.3,0.82,6/19/2019,11:16,16.3,15.5,0.8
8362,Green bug,hemif,Unidentified,Hemiptera,Unidentified,3.116666667,1.3,0.82,6/20/2019,18:00,26.6,25.3,1.3
8370,Green bug,hemif,Unidentified,Hemiptera,Unidentified,3.116666667,1.3,0.82,6/20/2019,18:08,22.6,20.6,2
8372,Green bug,hemif,Unidentified,Hemiptera,Unidentified,3.116666667,1.3,0.82,6/20/2019,18:09,22.3,19.6,2.7
8373,Green bug,hemif,Unidentified,Hemiptera,Unidentified,3.116666667,1.3,0.82,6/20/2019,18:10,25.4,24.1,1.3
2741,Green bug,hemif,Unidentified,Hemiptera,Unidentified,3.116666667,1.3,0.82,6/20/2019,18:00,14.4,13.8,0.6
2752,Green bug,hemif,Unidentified,Hemiptera,Unidentified,3.116666667,1.3,0.82,6/20/2019,18:11,21.2,20.2,1
8480,Green bug,hemif,Unidentified,Hemiptera,Unidentified,3.116666667,1.3,0.82,6/21/2019,14:53,31.5,27.7,3.8
8487,Green bug,hemif,Unidentified,Hemiptera,Unidentified,3.1,na,1.1,6/21/2019,15:07,27.9,24,3.9
3867,Green bug,hemif,Unidentified,Hemiptera,Unidentified,3.116666667,1.3,0.82,6/24/2019,14:29,23.1,19.8,3.3
1906,Green bug,hemif,Unidentified,Hemiptera,Unidentified,3.116666667,1.3,0.82,6/26/2019,11:51,17.2,17.2,0
8378,Lady bird (larva),lbug larva,Unidentified,Coleoptera,Coccinellidae,5.4,na,1.1,6/20/2019,18:26,14.4,13.1,1.3
8475,Lady bird (larva),lbug larva,Unidentified,Coleoptera,Coccinellidae,5.4,na,1.1,6/21/2019,14:32,30.2,24.6,5.6
