"initial_name","genus","species","scientificName","kingdom","phylum","class","order","family","db","db_code","MeasureType","Measurement","Units","Field","Code","MeasurementSource"
"Ophisaurus attenuatus","Ophisaurus","attenuatus","Ophisaurus attenuatus","Animalia","Chordata","Squamata",NA,"Anguidae","gbif","GBIF:5226648","AgeAtMaturity",20,"months","oldest.age.at.first.breeding..months.","MinAgeAtMaturity",""
"Otospermophilus beecheyi","Otospermophilus","beecheyi","Otospermophilus beecheyi","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","gbif","GBIF:8080937",NA,NA,NA,NA,NA,NA
"Pantherophis guttatus","Pantherophis","guttatus","Pantherophis guttatus","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:2455615","AgeAtMaturity",600,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Pantherophis guttatus","Pantherophis","guttatus","Pantherophis guttatus","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:2455615","AgeAtMaturity",573.96,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Pantherophis alleghaniensis","Pantherophis","alleghaniensis","Pantherophis alleghaniensis","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:7453543","AgeAtMaturity",1460,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Pantherophis alleghaniensis","Pantherophis","alleghaniensis","Pantherophis alleghaniensis","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:7453543","AgeAtMaturity",1460,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Pantherophis ramspotti","Pantherophis","ramspotti","Pantherophis ramspotti","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:7501483",NA,NA,NA,NA,NA,NA
"Parastrellus hesperus","Parastrellus","hesperus","Parastrellus hesperus","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:8397398",NA,NA,NA,NA,NA,NA
"Passerina caerulea","Passerina","caerulea","Passerina caerulea","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","gbif","GBIF:5230862","AgeAtMaturity",365,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Passerina caerulea","Passerina","caerulea","Passerina caerulea","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","gbif","GBIF:5230862","AgeAtMaturity",365,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Passerina caerulea","Passerina","caerulea","Passerina caerulea","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","gbif","GBIF:5230862","AgeAtMaturity",547.75,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Passerina caerulea","Passerina","caerulea","Passerina caerulea","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","gbif","GBIF:5230862","AgeAtMaturity",365,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Perognathus flavescens","Perognathus","flavescens","Perognathus flavescens","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","gbif","GBIF:2439558","GenerationLength",996.4534,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Perognathus flavescens","Perognathus","flavescens","Perognathus flavescens","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","gbif","GBIF:2439558","AgeAtMaturity",84,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Perognathus flavescens","Perognathus","flavescens","Perognathus flavescens","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","gbif","GBIF:2439558","AgeAtMaturity",83.699,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Peromyscus boylii","Peromyscus","boylii","Peromyscus boylii","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2438038","AgeAtMaturity",56.67,"days","SexualMaturityAge_d","AgeAtMaturity","Pantheria - 2005"
"Peromyscus boylii","Peromyscus","boylii","Peromyscus boylii","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2438038","GenerationLength",229.0677,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Peromyscus boylii","Peromyscus","boylii","Peromyscus boylii","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2438038","AgeAtMaturity",52.98816,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Peromyscus truei","Peromyscus","truei","Peromyscus truei","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437985","AgeAtMaturity",42.46,"days","SexualMaturityAge_d","AgeAtMaturity","Pantheria - 2005"
"Peromyscus truei","Peromyscus","truei","Peromyscus truei","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437985","GenerationLength",639.38525,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Peromyscus truei","Peromyscus","truei","Peromyscus truei","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437985","AgeAtMaturity",50,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Peromyscus truei","Peromyscus","truei","Peromyscus truei","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437985","AgeAtMaturity",42.46,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Phrynosoma douglasii","Phrynosoma","douglasii","Phrynosoma douglasii","Animalia","Chordata","Squamata",NA,"Phrynosomatidae","gbif","GBIF:2451089","AgeAtMaturity",24,"months","youngest.age.at.first.breeding..months.","oldest.age.at.first.breeding..months.",""
"Phrynosoma douglasii","Phrynosoma","douglasii","Phrynosoma douglasii","Animalia","Chordata","Squamata",NA,"Phrynosomatidae","gbif","GBIF:2451089","AgeAtMaturity",24,"months","oldest.age.at.first.breeding..months.","MinAgeAtMaturity",""
"Pipilo chlorurus","Pipilo","chlorurus","Pipilo chlorurus","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491276","AgeAtMaturity",365,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Pipilo chlorurus","Pipilo","chlorurus","Pipilo chlorurus","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491276","AgeAtMaturity",365,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Pipilo chlorurus","Pipilo","chlorurus","Pipilo chlorurus","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491276","AgeAtMaturity",365,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Pipilo chlorurus","Pipilo","chlorurus","Pipilo chlorurus","Animalia","Chordata","Aves","Passeriformes","Emberizidae","gbif","GBIF:2491276","AgeAtMaturity",365,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Piranga rubra","Piranga","rubra","Piranga rubra","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","gbif","GBIF:2488485","AgeAtMaturity",365,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Piranga rubra","Piranga","rubra","Piranga rubra","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","gbif","GBIF:2488485","AgeAtMaturity",365,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Piranga rubra","Piranga","rubra","Piranga rubra","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","gbif","GBIF:2488485","AgeAtMaturity",365.125,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Piranga rubra","Piranga","rubra","Piranga rubra","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","gbif","GBIF:2488485","AgeAtMaturity",365,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Plestiodon laticeps","Plestiodon","laticeps","Plestiodon laticeps","Animalia","Chordata","Squamata",NA,"Scincidae","gbif","GBIF:5789628","AgeAtMaturity",12,"months","youngest.age.at.first.breeding..months.","oldest.age.at.first.breeding..months.",""
"Plestiodon laticeps","Plestiodon","laticeps","Plestiodon laticeps","Animalia","Chordata","Squamata",NA,"Scincidae","gbif","GBIF:5789628","AgeAtMaturity",21,"months","oldest.age.at.first.breeding..months.","MinAgeAtMaturity",""
"Plestiodon anthracinus","Plestiodon","anthracinus","Plestiodon anthracinus","Animalia","Chordata","Squamata",NA,"Scincidae","gbif","GBIF:4287450","AgeAtMaturity",12,"months","youngest.age.at.first.breeding..months.","oldest.age.at.first.breeding..months.",""
"Plestiodon anthracinus","Plestiodon","anthracinus","Plestiodon anthracinus","Animalia","Chordata","Squamata",NA,"Scincidae","gbif","GBIF:4287450","AgeAtMaturity",24,"months","oldest.age.at.first.breeding..months.","MinAgeAtMaturity",""
"Plethodon cylindraceus","Plethodon","cylindraceus","Plethodon cylindraceus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431489",NA,NA,NA,NA,NA,NA
"Plethodon dorsalis","Plethodon","dorsalis","Plethodon dorsalis","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431480",NA,NA,NA,NA,NA,NA
"Plethodon dunni","Plethodon","dunni","Plethodon dunni","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431542","AgeAtMaturity",2,"years","Age_at_maturity_min_y","MinAgeAtMaturity","Amphibio"
"Plethodon dunni","Plethodon","dunni","Plethodon dunni","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431542","AgeAtMaturity",4,"years","Age_at_maturity_max_y","MaxAgeAtMaturity","Amphibio"
"Plethodon dunni","Plethodon","dunni","Plethodon dunni","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431542","AgeAtMaturity",1095,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Plethodon dunni","Plethodon","dunni","Plethodon dunni","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431542","AgeAtMaturity",1095,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Plethodon electromorphus","Plethodon","electromorphus","Plethodon electromorphus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431543",NA,NA,NA,NA,NA,NA
"Plethodon glutinosus","Plethodon","glutinosus","Plethodon glutinosus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431539","AgeAtMaturity",2.5,"years","Age_at_maturity_min_y","MinAgeAtMaturity","Amphibio"
"Plethodon glutinosus","Plethodon","glutinosus","Plethodon glutinosus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431539","AgeAtMaturity",2.5,"years","Age_at_maturity_max_y","MaxAgeAtMaturity","Amphibio"
"Plethodon glutinosus","Plethodon","glutinosus","Plethodon glutinosus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431539","AgeAtMaturity",910,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Plethodon glutinosus","Plethodon","glutinosus","Plethodon glutinosus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431539","AgeAtMaturity",910,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Plethodon kentucki","Plethodon","kentucki","Plethodon kentucki","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431518","AgeAtMaturity",4.5,"years","Age_at_maturity_min_y","MinAgeAtMaturity","Amphibio"
"Plethodon kentucki","Plethodon","kentucki","Plethodon kentucki","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431518","AgeAtMaturity",5,"years","Age_at_maturity_max_y","MaxAgeAtMaturity","Amphibio"
"Plethodon richmondi","Plethodon","richmondi","Plethodon richmondi","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431521","AgeAtMaturity",3,"years","Age_at_maturity_min_y","MinAgeAtMaturity","Amphibio"
"Plethodon richmondi","Plethodon","richmondi","Plethodon richmondi","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431521","AgeAtMaturity",3,"years","Age_at_maturity_max_y","MaxAgeAtMaturity","Amphibio"
"Poecile carolinensis","Poecile","carolinensis","Poecile carolinensis","Animalia","Chordata","Aves","Passeriformes","Paridae","gbif","GBIF:2487844","AgeAtMaturity",365,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Poecile carolinensis","Poecile","carolinensis","Poecile carolinensis","Animalia","Chordata","Aves","Passeriformes","Paridae","gbif","GBIF:2487844","AgeAtMaturity",365,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Poecile carolinensis","Poecile","carolinensis","Poecile carolinensis","Animalia","Chordata","Aves","Passeriformes","Paridae","gbif","GBIF:2487844","AgeAtMaturity",364.234,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Poecile carolinensis","Poecile","carolinensis","Poecile carolinensis","Animalia","Chordata","Aves","Passeriformes","Paridae","gbif","GBIF:2487844","AgeAtMaturity",365,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Pseudacris brachyphona","Pseudacris","brachyphona","Pseudacris brachyphona","Animalia","Chordata","Amphibia","Anura","Hylidae","gbif","GBIF:2428144",NA,NA,NA,NA,NA,NA
"Pseudacris feriarum","Pseudacris","feriarum","Pseudacris feriarum","Animalia","Chordata","Amphibia","Anura","Hylidae","gbif","GBIF:2428152","AgeAtMaturity",1,"years","Age_at_maturity_min_y","MinAgeAtMaturity","Amphibio"
"Pseudacris feriarum","Pseudacris","feriarum","Pseudacris feriarum","Animalia","Chordata","Amphibia","Anura","Hylidae","gbif","GBIF:2428152","AgeAtMaturity",2,"years","Age_at_maturity_max_y","MaxAgeAtMaturity","Amphibio"
"Pseudacris kalmi","Pseudacris","kalmi","Pseudacris kalmi","Animalia","Chordata","Amphibia","Anura","Hylidae","gbif","GBIF:2428125",NA,NA,NA,NA,NA,NA
"Pseudotriton montanus","Pseudotriton","montanus","Pseudotriton montanus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431466","AgeAtMaturity",3,"years","Age_at_maturity_min_y","MinAgeAtMaturity","Amphibio"
"Pseudotriton montanus","Pseudotriton","montanus","Pseudotriton montanus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431466","AgeAtMaturity",4.5,"years","Age_at_maturity_max_y","MaxAgeAtMaturity","Amphibio"
"Pseudotriton montanus","Pseudotriton","montanus","Pseudotriton montanus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431466","AgeAtMaturity",1095,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Pseudotriton montanus","Pseudotriton","montanus","Pseudotriton montanus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","gbif","GBIF:2431466","AgeAtMaturity",1643,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Rallus crepitans","Rallus","crepitans","Rallus crepitans","Animalia","Chordata","Aves","Gruiformes","Rallidae","gbif","GBIF:7751637",NA,NA,NA,NA,NA,NA
"Rana boylii","Rana","boylii","Rana boylii","Animalia","Chordata","Amphibia","Anura","Ranidae","gbif","GBIF:2426814",NA,NA,NA,NA,NA,NA
"Rana cascadae","Rana","cascadae","Rana cascadae","Animalia","Chordata","Amphibia","Anura","Ranidae","gbif","GBIF:2426771","AgeAtMaturity",2,"years","Age_at_maturity_min_y","MinAgeAtMaturity","Amphibio"
"Rana cascadae","Rana","cascadae","Rana cascadae","Animalia","Chordata","Amphibia","Anura","Ranidae","gbif","GBIF:2426771","AgeAtMaturity",4,"years","Age_at_maturity_max_y","MaxAgeAtMaturity","Amphibio"
"Regina grahamii","Regina","grahamii","Regina grahamii","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:5222697","AgeAtMaturity",1095.72,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Regina grahamii","Regina","grahamii","Regina grahamii","Animalia","Chordata","Squamata",NA,"Colubridae","gbif","GBIF:5222697","AgeAtMaturity",365.24,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Reithrodontomys montanus","Reithrodontomys","montanus","Reithrodontomys montanus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437866","AgeAtMaturity",61.87,"days","SexualMaturityAge_d","AgeAtMaturity","Pantheria - 2005"
"Reithrodontomys montanus","Reithrodontomys","montanus","Reithrodontomys montanus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437866","GenerationLength",202.795,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Reithrodontomys montanus","Reithrodontomys","montanus","Reithrodontomys montanus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437866","AgeAtMaturity",68.37128,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Reithrodontomys humulis","Reithrodontomys","humulis","Reithrodontomys humulis","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437865","AgeAtMaturity",44.65,"days","SexualMaturityAge_d","AgeAtMaturity","Pantheria - 2005"
"Reithrodontomys humulis","Reithrodontomys","humulis","Reithrodontomys humulis","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437865","GenerationLength",297.4414083,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Reithrodontomys humulis","Reithrodontomys","humulis","Reithrodontomys humulis","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437865","AgeAtMaturity",105,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Reithrodontomys humulis","Reithrodontomys","humulis","Reithrodontomys humulis","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437865","AgeAtMaturity",74.67492,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Sayornis nigricans","Sayornis","nigricans","Sayornis nigricans","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","gbif","GBIF:2483612","AgeAtMaturity",364.359,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Scaphiopus holbrookii","Scaphiopus","holbrookii","Scaphiopus holbrookii","Animalia","Chordata","Amphibia","Anura","Scaphiopodidae","gbif","GBIF:2429796","AgeAtMaturity",2.1,"years","Age_at_maturity_min_y","MinAgeAtMaturity","Amphibio"
"Scaphiopus holbrookii","Scaphiopus","holbrookii","Scaphiopus holbrookii","Animalia","Chordata","Amphibia","Anura","Scaphiopodidae","gbif","GBIF:2429796","AgeAtMaturity",2.4,"years","Age_at_maturity_max_y","MaxAgeAtMaturity","Amphibio"
"Scaphiopus holbrookii","Scaphiopus","holbrookii","Scaphiopus holbrookii","Animalia","Chordata","Amphibia","Anura","Scaphiopodidae","gbif","GBIF:2429796","AgeAtMaturity",730,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Scaphiopus holbrookii","Scaphiopus","holbrookii","Scaphiopus holbrookii","Animalia","Chordata","Amphibia","Anura","Scaphiopodidae","gbif","GBIF:2429796","AgeAtMaturity",730,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Sceloporus occidentalis","Sceloporus","occidentalis","Sceloporus occidentalis","Animalia","Chordata","Squamata",NA,"Phrynosomatidae","gbif","GBIF:2451234","AgeAtMaturity",18,"months","youngest.age.at.first.breeding..months.","oldest.age.at.first.breeding..months.",""
"Sceloporus occidentalis","Sceloporus","occidentalis","Sceloporus occidentalis","Animalia","Chordata","Squamata",NA,"Phrynosomatidae","gbif","GBIF:2451234","AgeAtMaturity",22,"months","oldest.age.at.first.breeding..months.","MinAgeAtMaturity",""
"Sceloporus undulatus","Sceloporus","undulatus","Sceloporus undulatus","Animalia","Chordata","Squamata",NA,"Phrynosomatidae","gbif","GBIF:2451347","AgeAtMaturity",9.5,"months","youngest.age.at.first.breeding..months.","oldest.age.at.first.breeding..months.",""
"Sceloporus undulatus","Sceloporus","undulatus","Sceloporus undulatus","Animalia","Chordata","Squamata",NA,"Phrynosomatidae","gbif","GBIF:2451347","AgeAtMaturity",24,"months","oldest.age.at.first.breeding..months.","MinAgeAtMaturity",""
"Sceloporus undulatus","Sceloporus","undulatus","Sceloporus undulatus","Animalia","Chordata","Squamata",NA,"Phrynosomatidae","gbif","GBIF:2451347","AgeAtMaturity",1095,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Sceloporus undulatus","Sceloporus","undulatus","Sceloporus undulatus","Animalia","Chordata","Squamata",NA,"Phrynosomatidae","gbif","GBIF:2451347","AgeAtMaturity",1095,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Sceloporus graciosus","Sceloporus","graciosus","Sceloporus graciosus","Animalia","Chordata","Squamata",NA,"Phrynosomatidae","gbif","GBIF:2451223","AgeAtMaturity",12,"months","youngest.age.at.first.breeding..months.","oldest.age.at.first.breeding..months.",""
"Sceloporus graciosus","Sceloporus","graciosus","Sceloporus graciosus","Animalia","Chordata","Squamata",NA,"Phrynosomatidae","gbif","GBIF:2451223","AgeAtMaturity",25,"months","oldest.age.at.first.breeding..months.","MinAgeAtMaturity",""
"Scincella lateralis","Scincella","lateralis","Scincella lateralis","Animalia","Chordata","Squamata",NA,"Scincidae","gbif","GBIF:2461434","AgeAtMaturity",9,"months","youngest.age.at.first.breeding..months.","oldest.age.at.first.breeding..months.",""
"Scincella lateralis","Scincella","lateralis","Scincella lateralis","Animalia","Chordata","Squamata",NA,"Scincidae","gbif","GBIF:2461434","AgeAtMaturity",12,"months","oldest.age.at.first.breeding..months.","MinAgeAtMaturity",""
"Sciurus griseus","Sciurus","griseus","Sciurus griseus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","gbif","GBIF:5219672","AgeAtMaturity",330.37,"days","SexualMaturityAge_d","AgeAtMaturity","Pantheria - 2005"
"Sciurus griseus","Sciurus","griseus","Sciurus griseus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","gbif","GBIF:5219672","GenerationLength",2122.200833,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Sciurus griseus","Sciurus","griseus","Sciurus griseus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","gbif","GBIF:5219672","AgeAtMaturity",319,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Sciurus griseus","Sciurus","griseus","Sciurus griseus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","gbif","GBIF:5219672","AgeAtMaturity",324.974,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Setophaga dominica","Setophaga","dominica","Setophaga dominica","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:7341800","AgeAtMaturity",365,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Setophaga dominica","Setophaga","dominica","Setophaga dominica","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:7341800","AgeAtMaturity",365,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Setophaga dominica","Setophaga","dominica","Setophaga dominica","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:7341800","AgeAtMaturity",365,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Setophaga dominica","Setophaga","dominica","Setophaga dominica","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:7341800","AgeAtMaturity",365,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Setophaga occidentalis","Setophaga","occidentalis","Setophaga occidentalis","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:6092644","AgeAtMaturity",365,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Setophaga occidentalis","Setophaga","occidentalis","Setophaga occidentalis","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:6092644","AgeAtMaturity",365,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Setophaga occidentalis","Setophaga","occidentalis","Setophaga occidentalis","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:6092644","AgeAtMaturity",365,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Setophaga occidentalis","Setophaga","occidentalis","Setophaga occidentalis","Animalia","Chordata","Aves","Passeriformes","Parulidae","gbif","GBIF:6092644","AgeAtMaturity",365,"days","male_maturity_d","FemaleAgeAtMaturity","Amniota"
"Siren intermedia","Siren","intermedia","Siren intermedia","Animalia","Chordata","Amphibia","Caudata","Sirenidae","gbif","GBIF:2432063","AgeAtMaturity",2,"years","Age_at_maturity_min_y","MinAgeAtMaturity","Amphibio"
"Siren intermedia","Siren","intermedia","Siren intermedia","Animalia","Chordata","Amphibia","Caudata","Sirenidae","gbif","GBIF:2432063","AgeAtMaturity",2,"years","Age_at_maturity_max_y","MaxAgeAtMaturity","Amphibio"
"Siren intermedia","Siren","intermedia","Siren intermedia","Animalia","Chordata","Amphibia","Caudata","Sirenidae","gbif","GBIF:2432063","AgeAtMaturity",730,"days","Male.maturity..days.","MaleAgeAtMaturity","AnAge"
"Siren intermedia","Siren","intermedia","Siren intermedia","Animalia","Chordata","Amphibia","Caudata","Sirenidae","gbif","GBIF:2432063","AgeAtMaturity",730,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Sorex longirostris","Sorex","longirostris","Sorex longirostris","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","gbif","GBIF:2435976","AgeAtMaturity",120.7,"days","SexualMaturityAge_d","AgeAtMaturity","Pantheria - 2005"
"Sorex longirostris","Sorex","longirostris","Sorex longirostris","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","gbif","GBIF:2435976","GenerationLength",422.8845979,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Sorex longirostris","Sorex","longirostris","Sorex longirostris","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","gbif","GBIF:2435976","AgeAtMaturity",120.7,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Sorex merriami","Sorex","merriami","Sorex merriami","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","gbif","GBIF:2435989","GenerationLength",422.8845979,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Sorex nanus","Sorex","nanus","Sorex nanus","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","gbif","GBIF:2436108","GenerationLength",422.8845979,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Sorex sonomae","Sorex","sonomae","Sorex sonomae","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","gbif","GBIF:2436110","GenerationLength",422.8845979,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Sorex sonomae","Sorex","sonomae","Sorex sonomae","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","gbif","GBIF:2436110","AgeAtMaturity",417.36,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
"Spinus psaltria","Spinus","psaltria","Spinus psaltria","Animalia","Chordata","Aves","Passeriformes","Fringillidae","gbif","GBIF:5231647",NA,NA,NA,NA,NA,NA
"Sylvilagus transitionalis","Sylvilagus","transitionalis","Sylvilagus transitionalis","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436905","GenerationLength",1089.485,"days","GenerationLength_d","GenerationLength","Pacifici et al. 2014"
"Sylvilagus transitionalis","Sylvilagus","transitionalis","Sylvilagus transitionalis","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436905","AgeAtMaturity",120,"days","Female.maturity..days.","FemaleAgeAtMaturity","AnAge"
"Sylvilagus transitionalis","Sylvilagus","transitionalis","Sylvilagus transitionalis","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436905","AgeAtMaturity",121.76328,"days","female_maturity_d","FemaleAgeAtMaturity","Amniota"
