"initial_name","scientificName","kingdom","phylum","class","order","family","db","db_code"
"Lepus europaeus","Lepus europaeus","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:7952072"
"Sylvilagus audubonii","Sylvilagus audubonii","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436910"
"Sylvilagus bachmani","Sylvilagus bachmani","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436846"
"Sorex longirostris","Sorex longirostris","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","gbif","GBIF:2435976"
"Sorex merriami","Sorex merriami","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","gbif","GBIF:2435989"
"Sorex nanus","Sorex nanus","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","gbif","GBIF:2436108"
"Sorex sonomae","Sorex sonomae","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","gbif","GBIF:2436110"
"Mustela frenata","Mustela frenata","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","gbif","GBIF:5218919"
"Marmota olympus","Marmota olympus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","gbif","GBIF:2437374"
"Urocitellus elegans","Urocitellus elegans","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","gbif","GBIF:7404826"
"Neotamias ruficaudus","Neotamias ruficaudus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","gbif","GBIF:4972388"
"Arborimus longicaudus","Arborimus longicaudus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437931"
"Myodes californicus","Myodes californicus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:5706763"
"Ochrotomys nuttalli","Ochrotomys nuttalli","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2438565"
"Reithrodontomys humulis","Reithrodontomys humulis","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437865"
"Sorex rohweri","Sorex rohweri","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","gbif","GBIF:5787798"
"Rana boylii","Rana boylii","Animalia","Chordata","Amphibia","Anura","Ranidae","gbif","GBIF:2426814"
"Rana cascadae","Rana cascadae","Animalia","Chordata","Amphibia","Anura","Ranidae","gbif","GBIF:2426771"
"Anaxyrus woodhousii","Anaxyrus woodhousii","Animalia","Chordata","Amphibia","Anura","Bufonidae","gbif","GBIF:2422865"
"Pseudacris brachyphona","Pseudacris brachyphona","Animalia","Chordata","Amphibia","Anura","Hylidae","gbif","GBIF:2428144"
"Pseudacris feriarum","Pseudacris feriarum","Animalia","Chordata","Amphibia","Anura","Hylidae","gbif","GBIF:2428152"
"Lithobates areolatus","Lithobates areolatus","Animalia","Chordata","Amphibia","Anura","Ranidae","gbif","GBIF:2427133"
"Lithobates blairi","Lithobates blairi","Animalia","Chordata","Amphibia","Anura","Ranidae","gbif","GBIF:2427062"
