"initial_name","scientificName","kingdom","phylum","class","order","family","db","db_code","BodySize","Units","Field","Code","BodySizeSource"
"Peromyscus truei","Peromyscus truei","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437985",NA,NA,NA,NA,NA
"Parastrellus hesperus","Parastrellus hesperus","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:8397398",NA,NA,NA,NA,NA
"Corynorhinus rafinesquii","Corynorhinus rafinesquii","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","gbif","GBIF:2432491",NA,NA,NA,NA,NA
"Reithrodontomys montanus","Reithrodontomys montanus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","gbif","GBIF:2437866",NA,NA,NA,NA,NA
"Sciurus griseus","Sciurus griseus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","gbif","GBIF:5219672","293.12","mm","AdultHeadBodyLen_mm","MeanBodyLength","Pantheria - 2005"
"Otospermophilus beecheyi","Otospermophilus beecheyi","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","gbif","GBIF:8080937",NA,NA,NA,NA,NA
"Sylvilagus transitionalis","Sylvilagus transitionalis","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436905","362.99","mm","AdultHeadBodyLen_mm","MeanBodyLength","Pantheria - 2005"
"Tadarida brasiliensis","Tadarida brasiliensis","Animalia","Chordata","Mammalia","Chiroptera","Molossidae","gbif","GBIF:2433011","41.49","mm","AdultHeadBodyLen_mm","MeanBodyLength","Pantheria - 2005"
"Thomomys idahoensis","Thomomys idahoensis","Animalia","Chordata","Mammalia","Rodentia","Geomyidae","gbif","GBIF:2439384",NA,NA,NA,NA,NA
"Thomomys mazama","Thomomys mazama","Animalia","Chordata","Mammalia","Rodentia","Geomyidae","gbif","GBIF:2439389","144.99","mm","AdultHeadBodyLen_mm","MeanBodyLength","Pantheria - 2005"
"Didelphis virginiana","Didelphis virginiana","Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","gbif","GBIF:2439923",NA,NA,NA,NA,NA
"Lepus californicus","Lepus californicus","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436801","480","mm","AdultHeadBodyLen_mm","MeanBodyLength","Pantheria - 2005"
"Lepus europaeus","Lepus europaeus","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:7952072","526","mm","AdultHeadBodyLen_mm","MeanBodyLength","Pantheria - 2005"
"Sylvilagus audubonii","Sylvilagus audubonii","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436910","325.24","mm","AdultHeadBodyLen_mm","MeanBodyLength","Pantheria - 2005"
"Sylvilagus bachmani","Sylvilagus bachmani","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","gbif","GBIF:2436846","303.78","mm","AdultHeadBodyLen_mm","MeanBodyLength","Pantheria - 2005"
"Sorex longirostris","Sorex longirostris","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","gbif","GBIF:2435976","51.14","mm","AdultHeadBodyLen_mm","MeanBodyLength","Pantheria - 2005"
